Detailed_ICD9_Code,Detailed_ICD9_Short_Title,Detailed_ICD9_Long_Title,RolledUp_ICD9_Code,RolledUp_ICD9_Short_Title,RolledUp_ICD9_Long_Title
3361,Vascular myelopathies,Vascular myelopathies,3360,Syringomyelia,Syringomyelia and syringobulbia
3362,Comb deg cord in oth dis,Subacute combined degeneration of spinal cord in diseases classified elsewhere,3360,Syringomyelia,Syringomyelia and syringobulbia
3363,Myelopathy in oth dis,Myelopathy in other diseases classified elsewhere,3360,Syringomyelia,Syringomyelia and syringobulbia
3368,Myelopathy NEC,Other myelopathy,3360,Syringomyelia,Syringomyelia and syringobulbia
3369,Spinal cord disease NOS,Unspecified disease of spinal cord,3360,Syringomyelia,Syringomyelia and syringobulbia
33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified",33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33701,Carotid sinus syndrome,Carotid sinus syndrome,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33709,Idio perph auto neur NEC,Other idiopathic peripheral autonomic neuropathy,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
3371,Aut neuropthy in oth dis,Peripheral autonomic neuropathy in disorders classified elsewhere,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33720,Unsp rflx sympth dystrph,"Reflex sympathetic dystrophy, unspecified",33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33721,Rflx sym dystrph up limb,Reflex sympathetic dystrophy of the upper limb,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33722,Rflx sym dystrph lwr lmb,Reflex sympathetic dystrophy of the lower limb,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
33729,Rflx sym dystrph oth st,Reflex sympathetic dystrophy of other specified site,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
3373,Autonomic dysreflexia,Autonomic dysreflexia,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
3379,Autonomic nerve dis NEC,Unspecified disorder of autonomic nervous system,33700,Idio perph auto neur NOS,"Idiopathic peripheral autonomic neuropathy, unspecified"
3380,Central pain syndrome,Central pain syndrome,3380,Central pain syndrome,Central pain syndrome
33811,Acute pain due to trauma,Acute pain due to trauma,3380,Central pain syndrome,Central pain syndrome
33812,Acute post-thoracot pain,Acute post-thoracotomy pain,3380,Central pain syndrome,Central pain syndrome
33818,Acute postop pain NEC,Other acute postoperative pain,3380,Central pain syndrome,Central pain syndrome
33819,Acute pain NEC,Other acute pain,3380,Central pain syndrome,Central pain syndrome
33821,Chronc pain d/t trauma,Chronic pain due to trauma,3380,Central pain syndrome,Central pain syndrome
33822,Chron post-thoracot pain,Chronic post-thoracotomy pain,3380,Central pain syndrome,Central pain syndrome
33828,Chronic postop pain NEC,Other chronic postoperative pain,3380,Central pain syndrome,Central pain syndrome
33829,Chronic pain NEC,Other chronic pain,3380,Central pain syndrome,Central pain syndrome
3383,Neoplasm related pain,Neoplasm related pain (acute) (chronic),3380,Central pain syndrome,Central pain syndrome
3384,Chronic pain syndrome,Chronic pain syndrome,3380,Central pain syndrome,Central pain syndrome
33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified",33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33901,Episodc cluster headache,Episodic cluster headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33902,Chronic cluster headache,Chronic cluster headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33903,Episdc paroxyml hemicran,Episodic paroxysmal hemicrania,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33904,Chr paroxysml hemicrania,Chronic paroxysmal hemicrania,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33905,Shrt lst uni nral hdache,Short lasting unilateral neuralgiform headache with conjunctival injection and tearing,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33981,Hypnic headache,Hypnic headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33982,Headache w sex activity,Headache associated with sexual activity,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33983,Primary cough headache,Primary cough headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33984,Prim exertion headache,Primary exertional headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33985,Prim stabbing headache,Primary stabbing headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33989,Headache syndrome NEC,Other headache syndromes,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33922,Chr post-trauma headache,Chronic post-traumatic headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
3393,Drug induce headache NEC,"Drug induced headache, not elsewhere classified",33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33941,Hemicrania continua,Hemicrania continua,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33942,New daily pers headache,New daily persistent headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33943,Prim thnderclap headache,Primary thunderclap headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33944,Comp headache synd NEC,Other complicated headache syndrome,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33909,Trigem autonmc cephl NEC,Other trigeminal autonomic cephalgias,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33910,Tension headache NOS,"Tension type headache, unspecified",33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33911,Episdic tension headache,Episodic tension type headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33912,Chronic tension headache,Chronic tension type headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33920,Post-trauma headache NOS,"Post-traumatic headache, unspecified",33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
33921,Ac post-trauma headache,Acute post-traumatic headache,33900,Cluster headache syn NOS,"Cluster headache syndrome, unspecified"
340,Multiple sclerosis,Multiple sclerosis,340,Multiple sclerosis,Multiple sclerosis
3410,Neuromyelitis optica,Neuromyelitis optica,3410,Neuromyelitis optica,Neuromyelitis optica
3411,Schilder's disease,Schilder's disease,3410,Neuromyelitis optica,Neuromyelitis optica
34120,Acute myelitis NOS,Acute (transverse) myelitis NOS,3410,Neuromyelitis optica,Neuromyelitis optica
34121,Acute myelitis oth cond,Acute (transverse) myelitis in conditions classified elsewhere,3410,Neuromyelitis optica,Neuromyelitis optica
34122,Idiopathc trans myelitis,Idiopathic transverse myelitis,3410,Neuromyelitis optica,Neuromyelitis optica
3418,Cns demyelination NEC,Other demyelinating diseases of central nervous system,3410,Neuromyelitis optica,Neuromyelitis optica
3419,Cns demyelination NOS,"Demyelinating disease of central nervous system, unspecified",3410,Neuromyelitis optica,Neuromyelitis optica
34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34201,Flccd hmiplga domnt side,Flaccid hemiplegia and hemiparesis affecting dominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34202,Flccd hmiplg nondmnt sde,Flaccid hemiplegia and hemiparesis affecting nondominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34210,Spstc hmiplga unspf side,Spastic hemiplegia and hemiparesis affecting unspecified side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34211,Spstc hmiplga domnt side,Spastic hemiplegia and hemiparesis affecting dominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34212,Spstc hmiplg nondmnt sde,Spastic hemiplegia and hemiparesis affecting nondominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34280,Ot sp hmiplga unspf side,Other specified hemiplegia and hemiparesis affecting unspecified side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34281,Ot sp hmiplga domnt side,Other specified hemiplegia and hemiparesis affecting dominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34282,Ot sp hmiplg nondmnt sde,Other specified hemiplegia and hemiparesis affecting nondominant side,34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34290,Unsp hemiplga unspf side,"Hemiplegia, unspecified, affecting unspecified side",34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34291,Unsp hemiplga domnt side,"Hemiplegia, unspecified, affecting dominant side",34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
34292,Unsp hmiplga nondmnt sde,"Hemiplegia, unspecified, affecting nondominant side",34200,Flccd hmiplga unspf side,Flaccid hemiplegia and hemiparesis affecting unspecified side
3430,Congenital diplegia,Congenital diplegia,3430,Congenital diplegia,Congenital diplegia
3431,Congenital hemiplegia,Congenital hemiplegia,3430,Congenital diplegia,Congenital diplegia
3432,Congenital quadriplegia,Congenital quadriplegia,3430,Congenital diplegia,Congenital diplegia
3433,Congenital monoplegia,Congenital monoplegia,3430,Congenital diplegia,Congenital diplegia
3434,Infantile hemiplegia,Infantile hemiplegia,3430,Congenital diplegia,Congenital diplegia
3438,Cerebral palsy NEC,Other specified infantile cerebral palsy,3430,Congenital diplegia,Congenital diplegia
3439,Cerebral palsy NOS,"Infantile cerebral palsy, unspecified",3430,Congenital diplegia,Congenital diplegia
34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34401,"Quadrplg c1-c4, complete","Quadriplegia, C1-C4, complete",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34402,"Quadrplg c1-c4, incomplt","Quadriplegia, C1-C4, incomplete",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34403,"Quadrplg c5-c7, complete","Quadriplegia, C5-C7, complete",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34404,"Quadrplg c5-c7, incomplt","Quadriplegia, C5-C7, incomplete",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34409,Other quadriplegia,Other quadriplegia,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34489,Oth spcf paralytic synd,Other specified paralytic syndrome,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
3449,Paralysis NOS,"Paralysis, unspecified",34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34441,Monplga upr lmb dmnt sde,Monoplegia of upper limb affecting dominant side,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34442,Mnplg upr lmb nondmnt sd,Monoplegia of upper limb affecting nondominant sde,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
3445,Monoplegia NOS,Unspecified monoplegia,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34460,Cauda equina synd NOS,Cauda equina syndrome without mention of neurogenic bladder,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34461,Neurogenic bladder,Cauda equina syndrome with neurogenic bladder,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34481,Locked-in state,Locked-in state,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
3441,Paraplegia NOS,Paraplegia,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
3442,Diplegia of upper limbs,Diplegia of upper limbs,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34430,Monplga lwr lmb unsp sde,Monoplegia of lower limb affecting unspecified side,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34431,Monplga lwr lmb dmnt sde,Monoplegia of lower limb affecting dominant side,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34432,Mnplg lwr lmb nondmnt sd,Monoplegia of lower limb affecting nondominant side,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34440,Monplga upr lmb unsp sde,Monoplegia of upper limb affecting unspecified side,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34501,Gen nonconv ep w intr ep,"Generalized nonconvulsive epilepsy, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34510,Gen cnv epil w/o intr ep,"Generalized convulsive epilepsy, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34511,Gen cnv epil w intr epil,"Generalized convulsive epilepsy, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
3452,Petit mal status,Petit mal status,34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
3453,Grand mal status,Grand mal status,34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34570,Epil par cont w/o int ep,"Epilepsia partialis continua, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34571,Epil par cont w intr epi,"Epilepsia partialis continua, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34580,Epilep NEC w/o intr epil,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34581,Epilepsy NEC w intr epil,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34590,Epilep NOS w/o intr epil,"Epilepsy, unspecified, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34591,Epilepsy NOS w intr epil,"Epilepsy, unspecified, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34540,Psymotr epil w/o int epi,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34541,Psymotr epil w intr epil,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34550,Part epil w/o intr epil,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34551,Part epil w intr epil,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34560,Inf spasm w/o intr epil,"Infantile spasms, without mention of intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34561,Inf spasm w intract epil,"Infantile spasms, with intractable epilepsy",34500,Gen noncv ep w/o intr ep,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34601,Mgrn w aura w ntrc mgrn,"Migraine with aura, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34602,Mgrn w aur wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34603,Mgrn w aura w ntrc mgrn,"Migraine with aura, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34610,Mgrn wo aura wo ntrc mgr,"Migraine without aura, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34611,Mgrn wo aura w ntrc mgrn,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34690,Migrne unsp wo ntrc mgrn,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34691,Mgrn unsp w ntrc mgr std,"Migraine, unspecified, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34692,Mgr NOS wo ntrc w st mgr,"Migraine, unspecified, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34693,Mgrn NOS w ntrc w st mgr,"Migraine, unspecified, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34672,Ch mgr wo ara wo nt w st,"Chronic migraine without aura, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34673,Ch mgr wo ara w ntr w st,"Chronic migraine without aura, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34680,Othr migrne wo ntrc mgrn,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34681,Othr migrne w ntrc mgrne,"Other forms of migraine, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34682,Oth mgr wo ntrc w st mgr,"Other forms of migraine, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34683,Oth mgr w ntrc w st mgr,"Other forms of migraine, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34660,Prs ara w inf wo ntr/st,"Persistent migraine aura with cerebral infarction, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34661,Prs ara w/inf/ntr wo st,"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34662,Prs ara wo ntr w inf/st,"Persistent migraine aura with cerebral infarction, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34663,Prst ara w inf w ntr/st,"Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34670,Ch mgr wo ar wo nt wo st,"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34671,Ch mgr wo ara w nt wo st,"Chronic migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34642,Menstl mgr wo ntrc w st,"Menstrual migraine, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34643,Menstl mgrn w ntrc w st,"Menstrual migraine, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34650,Prst aura wo inf/ntr/st,"Persistent migraine aura without cerebral infarction, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34651,Prs ara w ntr wo inf/st,"Persistent migraine aura without cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34652,Prs ara wo inf/ntr w st,"Persistent migraine aura without cerebral infarction, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34653,Prs ara wo inf w ntr/st,"Persistent migraine aura without cerebral infarction, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34630,Hmplg mgr wo ntrc wo st,"Hemiplegic migraine, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34631,Hmplg mgrn w ntrc wo st,"Hemiplegic migraine, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34632,Hemplg mgr wo ntrc w st,"Hemiplegic migraine, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34633,Hmplg mgrn w ntrc w st,"Hemiplegic migraine, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34640,Menst mgr wo ntrc wo st,"Menstrual migraine, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34641,Menstl mgrn w ntrc wo st,"Menstrual migraine, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34612,Mgrn wo aura wo ntrc mgr,"Migraine without aura, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34613,Mgrn wo aura w ntrc mgrn,"Migraine without aura, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34620,Vrnt mgrn wo ntr mgr NEC,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34621,Vrnt mgrn w ntrc mgr NEC,"Variants of migraine, not elsewhere classified, with intractable migraine, so stated, without mention of status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34622,Var mgr NEC wo ntc mgr,"Variants of migraine, not elsewhere classified, without mention of intractable migraine with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34623,Var mgrn NEC w ntrc mgr,"Variants of migraine, not elsewhere classified, with intractable migraine, so stated, with status migrainosus",34600,Mgrn w aura wo ntrc mgrn,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus"
34700,Narcolepsy w/o cataplexy,"Narcolepsy, without cataplexy",34700,Narcolepsy w/o cataplexy,"Narcolepsy, without cataplexy"
34701,Narcolepsy w cataplexy,"Narcolepsy, with cataplexy",34700,Narcolepsy w/o cataplexy,"Narcolepsy, without cataplexy"
34710,Narclpsy w/o cat oth dis,"Narcolepsy in conditions classified elsewhere, without cataplexy",34700,Narcolepsy w/o cataplexy,"Narcolepsy, without cataplexy"
34711,Narcolepsy w cat oth dis,"Narcolepsy in conditions classified elsewhere, with cataplexy",34700,Narcolepsy w/o cataplexy,"Narcolepsy, without cataplexy"
3480,Cerebral cysts,Cerebral cysts,3480,Cerebral cysts,Cerebral cysts
3481,Anoxic brain damage,Anoxic brain damage,3480,Cerebral cysts,Cerebral cysts
3482,Pseudotumor cerebri,Benign intracranial hypertension,3480,Cerebral cysts,Cerebral cysts
34830,Encephalopathy NOS,"Encephalopathy, unspecified",3480,Cerebral cysts,Cerebral cysts
34831,Metabolic encephalopathy,Metabolic encephalopathy,3480,Cerebral cysts,Cerebral cysts
34839,Encephalopathy NEC,Other encephalopathy,3480,Cerebral cysts,Cerebral cysts
3484,Compression of brain,Compression of brain,3480,Cerebral cysts,Cerebral cysts
3485,Cerebral edema,Cerebral edema,3480,Cerebral cysts,Cerebral cysts
34881,Temporal sclerosis,Temporal sclerosis,3480,Cerebral cysts,Cerebral cysts
34882,Brain death,Brain death,3480,Cerebral cysts,Cerebral cysts
34889,Brain conditions NEC,Other conditions of brain,3480,Cerebral cysts,Cerebral cysts
3489,Brain condition NOS,Unspecified condition of brain,3480,Cerebral cysts,Cerebral cysts
3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
3491,Complication cns device,Nervous system complications from surgically implanted device,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
3492,Disorder of meninges NEC,"Disorders of meninges, not elsewhere classified",3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
34931,Accid punc/op lac dura,Accidental puncture or laceration of dura during a procedure,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
34939,Dural tear NEC,Other dural tear,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
34981,Cerebrospinal rhinorrhea,Cerebrospinal fluid rhinorrhea,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
34982,Toxic encephalopathy,Toxic encephalopathy,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
34989,Cns disorder NEC,Other specified disorders of nervous system,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
3499,Cns disorder NOS,Unspecified disorders of nervous system,3490,Lumbar puncture reaction,Reaction to spinal or lumbar puncture
3501,Trigeminal neuralgia,Trigeminal neuralgia,3501,Trigeminal neuralgia,Trigeminal neuralgia
3502,Atypical face pain,Atypical face pain,3501,Trigeminal neuralgia,Trigeminal neuralgia
3508,Trigeminal nerve dis NEC,Other specified trigeminal nerve disorders,3501,Trigeminal neuralgia,Trigeminal neuralgia
3509,Trigeminal nerve dis NOS,"Trigeminal nerve disorder, unspecified",3501,Trigeminal neuralgia,Trigeminal neuralgia
3510,Bell's palsy,Bell's palsy,3510,Bell's palsy,Bell's palsy
3511,Geniculate ganglionitis,Geniculate ganglionitis,3510,Bell's palsy,Bell's palsy
3518,Facial nerve dis NEC,Other facial nerve disorders,3510,Bell's palsy,Bell's palsy
3519,Facial nerve dis NOS,"Facial nerve disorder, unspecified",3510,Bell's palsy,Bell's palsy
